X-Men Origins: Wolverine,1995,Deana Lecointe,5.32,Action|Sci-Fi|Thriller
Bruno (The Dress Code),2006,Eugenius Lever,4.05,Comedy|Drama
Doctor Detroit,2011,Pall Tweedie,0.2,Comedy
Evergreen,2001,Enriqueta Haggus,5.76,Drama
Welcome to Mooseport,1990,Wren Purshouse,7.83,Comedy
Jesse Stone: Thin Ice,2006,Rainer Weedon,7.13,Crime|Drama|Mystery
I Bury the Living,2004,Fran Courtese,5.69,Horror
"Adventures of Kitty O""Day (Kitty O""Day Comes Through)",1997,Dedie Lissemore,8.94,Comedy|Crime|Mystery|Romance
"The Baker""s Wife",2007,Mariejeanne Wrotchford,6.32,Comedy|Drama
Aliens of the Deep,1992,Jaymie Barford,8.39,Documentary|IMAX
"Princess Ka""iulani",2004,Janet Binley,1.89,Drama|Romance
OMG Oh My God!,1993,Paolo Josef,8.84,Comedy|Drama
God of Cookery (Sik san),1987,Franciskus Dilland,9.12,Comedy
High School High,1996,Yvonne Stansell,2.33,Comedy
Nine,1997,Kiley Pavlata,3.2,Drama|Musical|Romance
Police Story (Ging chaat goo si),2002,Nickolas Laverenz,7.69,Action|Comedy|Crime|Thriller
Holes in My Shoes,1998,Reed Gannaway,5.25,Documentary
"Walk. Don""t Run",1999,Carrol Squirrell,5.79,Comedy|Romance
Son of Batman,2010,Giralda Galbraeth,2.62,Action|Adventure|Animation|Crime|Fantasy
6 Bullets,2007,Jayson Bello,7.31,Action|Crime|Thriller
Evolver,2002,Fae Drinkale,0.67,Action|Horror|Sci-Fi
Good Humor Man. The,2006,Judon Hubbins,3.85,Drama|Romance
"Don""t Bother to Knock",1998,Cliff Weed,1.63,Drama|Thriller
She Creature (Mermaid Chronicles Part 1: She Creature),2011,Blithe Tingley,2.65,Fantasy|Horror|Thriller
Swiss Family Robinson,1995,Cy Sonier,5.56,Adventure|Children
Prize. The,2000,Felicdad Badgers,8.09,Drama|Mystery|Thriller
Suzy,2008,Karlene Vankin,8.14,Drama
Into the West,2012,Udall Ragg,5.04,Adventure|Children
Little Girl (La pivellina),1996,Tully Ambrosini,2.29,Drama
Conquest,1987,Locke Leuren,2.7,Drama|Romance
Long Way Down. A,2006,Terry Jeffes,1.65,Comedy|Drama
Mars Attacks!,2005,Bessie Longden,3.53,Action|Comedy|Sci-Fi
Cencoroll,2005,Beryl Weich,4.64,Action|Animation|Sci-Fi
Bugs Bunny / Road Runner Movie. The (a.k.a. The Great American Chase),1954,Sabra Bartocci,5.64,Animation|Children|Comedy
Soul Men,1998,Morena Grund,6.59,Comedy|Musical
Swing Time,2001,Brittani Pittel,2.27,Comedy|Musical|Romance
Eight Legged Freaks,2003,Corissa Hafford,0.52,Action|Comedy|Horror|Sci-Fi
Un vampiro para dos,2003,Eli Gocher,8.86,Comedy|Horror
The Case of the Curious Bride,2006,Berti Skepper,5.97,Comedy|Crime|Drama|Mystery
