X-Men Origins: Wolverine,1995,Deana Lecointe,5.32,Action|Sci-Fi|Thriller
Bruno (The Dress Code),2006,Eugenius Lever,4.05,Comedy|Drama
Doctor Detroit,2011,Pall Tweedie,0.2,Comedy
Evergreen,2001,Enriqueta Haggus,5.76,Drama
Welcome to Mooseport,1990,Wren Purshouse,7.83,Comedy
Jesse Stone: Thin Ice,2006,Rainer Weedon,7.13,Crime|Drama|Mystery
I Bury the Living,2004,Fran Courtese,5.69,Horror
"Adventures of Kitty O""Day (Kitty O""Day Comes Through)",1997,Dedie Lissemore,8.94,Comedy|Crime|Mystery|Romance
"The Baker""s Wife",2007,Mariejeanne Wrotchford,6.32,Comedy|Drama
Aliens of the Deep,1992,Jaymie Barford,8.39,Documentary|IMAX
